Genero,Meses,M3SD,M2SD,M1SD,Median,1DS,2SD,3SD
M,61,96.5,101.1,105.7,110.3,114.9,119.4,124
M,62,96.9,101.6,106.2,110.8,115.4,120,124.7
M,63,97.4,102,106.7,111.3,116,120.6,125.3
M,64,97.8,102.5,107.2,111.9,116.5,121.2,125.9
M,65,98.2,103,107.7,112.4,117.1,121.8,126.5
M,66,98.7,103.4,108.2,112.9,117.7,122.4,127.1
M,67,99.1,103.9,108.7,113.4,118.2,123,127.8
M,68,99.5,104.3,109.1,113.9,118.7,123.6,128.4
M,69,99.9,104.8,109.6,114.5,119.3,124.1,129
M,70,100.4,105.2,110.1,115,119.8,124.7,129.6
M,71,100.8,105.7,110.6,115.5,120.4,125.2,130.1
M,72,101.2,106.1,111,116,120.9,125.8,130.7
M,73,101.6,106.5,111.5,116.4,121.4,126.4,131.3
M,74,102,107,111.9,116.9,121.9,126.9,131.9
M,75,102.4,107.4,112.4,117.4,122.4,127.5,132.5
M,76,102.8,107.8,112.9,117.9,123,128,133
M,77,103.2,108.2,113.3,118.4,123.5,128.5,133.6
M,78,103.6,108.7,113.8,118.9,124,129.1,134.2
M,79,103.9,109.1,114.2,119.4,124.5,129.6,134.8
M,80,104.3,109.5,114.7,119.8,125,130.2,135.3
M,81,104.7,109.9,115.1,120.3,125.5,130.7,135.9
M,82,105.1,110.3,115.6,120.8,126,131.2,136.5
M,83,105.5,110.8,116,121.3,126.5,131.8,137
M,84,105.9,111.2,116.4,121.7,127,132.3,137.6
M,85,106.3,111.6,116.9,122.2,127.5,132.8,138.2
M,86,106.6,112,117.3,122.7,128,133.4,138.7
M,87,107,112.4,117.8,123.1,128.5,133.9,139.3
M,88,107.4,112.8,118.2,123.6,129,134.4,139.8
M,89,107.8,113.2,118.6,124.1,129.5,134.9,140.4
M,90,108.1,113.6,119.1,124.5,130,135.5,140.9
M,91,108.5,114,119.5,125,130.5,136,141.5
M,92,108.9,114.4,119.9,125.5,131,136.5,142
M,93,109.2,114.8,120.4,125.9,131.5,137,142.6
M,94,109.6,115.2,120.8,126.4,132,137.5,143.1
M,95,110,115.6,121.2,126.8,132.4,138.1,143.7
M,96,110.3,116,121.6,127.3,132.9,138.6,144.2
M,97,110.7,116.4,122,127.7,133.4,139.1,144.7
M,98,111,116.7,122.5,128.2,133.9,139.6,145.3
M,99,111.4,117.1,122.9,128.6,134.3,140.1,145.8
M,100,111.7,117.5,123.3,129,134.8,140.6,146.4
M,101,112.1,117.9,123.7,129.5,135.3,141.1,146.9
M,102,112.4,118.3,124.1,129.9,135.8,141.6,147.4
M,103,112.8,118.7,124.5,130.4,136.2,142.1,148
M,104,113.1,119,124.9,130.8,136.7,142.6,148.5
M,105,113.5,119.4,125.3,131.3,137.2,143.1,149
M,106,113.8,119.8,125.7,131.7,137.6,143.6,149.5
M,107,114.2,120.2,126.1,132.1,138.1,144.1,150.1
M,108,114.5,120.5,126.6,132.6,138.6,144.6,150.6
M,109,114.9,120.9,127,133,139,145.1,151.1
M,110,115.2,121.3,127.4,133.4,139.5,145.6,151.7
M,111,115.6,121.7,127.8,133.9,140,146.1,152.2
M,112,115.9,122,128.2,134.3,140.4,146.6,152.7
M,113,116.3,122.4,128.6,134.7,140.9,147.1,153.2
M,114,116.6,122.8,129,135.2,141.4,147.6,153.8
M,115,116.9,123.2,129.4,135.6,141.8,148.1,154.3
M,116,117.3,123.5,129.8,136.1,142.3,148.6,154.8
M,117,117.6,123.9,130.2,136.5,142.8,149.1,155.3
M,118,118,124.3,130.6,136.9,143.2,149.5,155.9
M,119,118.3,124.7,131,137.3,143.7,150,156.4
M,120,118.7,125,131.4,137.8,144.2,150.5,156.9
M,121,119,125.4,131.8,138.2,144.6,151,157.4
M,122,119.3,125.8,132.2,138.6,145.1,151.5,157.9
M,123,119.7,126.2,132.6,139.1,145.5,152,158.5
M,124,120,126.5,133,139.5,146,152.5,159
M,125,120.4,126.9,133.4,140,146.5,153,159.5
M,126,120.7,127.3,133.8,140.4,146.9,153.5,160.1
M,127,121.1,127.7,134.3,140.8,147.4,154,160.6
M,128,121.4,128.1,134.7,141.3,147.9,154.5,161.1
M,129,121.8,128.5,135.1,141.7,148.4,155,161.7
M,130,122.2,128.8,135.5,142.2,148.9,155.5,162.2
M,131,122.5,129.2,135.9,142.7,149.4,156.1,162.8
M,132,122.9,129.7,136.4,143.1,149.8,156.6,163.3
M,133,123.3,130.1,136.8,143.6,150.3,157.1,163.9
M,134,123.7,130.5,137.3,144.1,150.8,157.6,164.4
M,135,124.1,130.9,137.7,144.5,151.3,158.2,165
M,136,124.5,131.3,138.2,145,151.9,158.7,165.6
M,137,124.9,131.7,138.6,145.5,152.4,159.3,166.1
M,138,125.3,132.2,139.1,146,152.9,159.8,166.7
M,139,125.7,132.6,139.6,146.5,153.4,160.4,167.3
M,140,126.1,133.1,140,147,154,160.9,167.9
M,141,126.5,133.5,140.5,147.5,154.5,161.5,168.5
M,142,126.9,134,141,148,155,162.1,169.1
