Genero,Meses,M3SD,M2SD,M1SD,Median,1DS,2SD,3SD
M,61,12.1,13,14.1,15.3,16.6,18.3,20.2
M,62,12.1,13,14.1,15.3,16.6,18.3,20.2
M,63,12.1,13,14.1,15.3,16.7,18.3,20.2
M,64,12.1,13,14.1,15.3,16.7,18.3,20.3
M,65,12.1,13,14.1,15.3,16.7,18.3,20.3
M,66,12.1,13,14.1,15.3,16.7,18.4,20.4
M,67,12.1,13,14.1,15.3,16.7,18.4,20.4
M,68,12.1,13,14.1,15.3,16.7,18.4,20.5
M,69,12.1,13,14.1,15.3,16.7,18.4,20.5
M,70,12.1,13,14.1,15.3,16.7,18.5,20.6
M,71,12.1,13,14.1,15.3,16.7,18.5,20.6
M,72,12.1,13,14.1,15.3,16.8,18.5,20.7
M,73,12.1,13,14.1,15.3,16.8,18.6,20.8
M,74,12.2,13.1,14.1,15.3,16.8,18.6,20.8
M,75,12.2,13.1,14.1,15.3,16.8,18.6,20.9
M,76,12.2,13.1,14.1,15.4,16.8,18.7,21
M,77,12.2,13.1,14.1,15.4,16.9,18.7,21
M,78,12.2,13.1,14.1,15.4,16.9,18.7,21.1
M,79,12.2,13.1,14.1,15.4,16.9,18.8,21.2
M,80,12.2,13.1,14.2,15.4,16.9,18.8,21.3
M,81,12.2,13.1,14.2,15.4,17,18.9,21.3
M,82,12.2,13.1,14.2,15.4,17,18.9,21.4
M,83,12.2,13.1,14.2,15.5,17,19,21.5
M,84,12.3,13.1,14.2,15.5,17,19,21.6
M,85,12.3,13.2,14.2,15.5,17.1,19.1,21.7
M,86,12.3,13.2,14.2,15.5,17.1,19.1,21.8
M,87,12.3,13.2,14.3,15.5,17.1,19.2,21.9
M,88,12.3,13.2,14.3,15.6,17.2,19.2,22
M,89,12.3,13.2,14.3,15.6,17.2,19.3,22
M,90,12.3,13.2,14.3,15.6,17.2,19.3,22.1
M,91,12.3,13.2,14.3,15.6,17.3,19.4,22.2
M,92,12.3,13.2,14.3,15.6,17.3,19.4,22.4
M,93,12.4,13.3,14.3,15.7,17.3,19.5,22.5
M,94,12.4,13.3,14.4,15.7,17.4,19.6,22.6
M,95,12.4,13.3,14.4,15.7,17.4,19.6,22.7
M,96,12.4,13.3,14.4,15.7,17.4,19.7,22.8
M,97,12.4,13.3,14.4,15.8,17.5,19.7,22.9
M,98,12.4,13.3,14.4,15.8,17.5,19.8,23
M,99,12.4,13.3,14.4,15.8,17.5,19.9,23.1
M,100,12.4,13.4,14.5,15.8,17.6,19.9,23.3
M,101,12.5,13.4,14.5,15.9,17.6,20,23.4
M,102,12.5,13.4,14.5,15.9,17.7,20.1,23.5
M,103,12.5,13.4,14.5,15.9,17.7,20.1,23.6
M,104,12.5,13.4,14.5,15.9,17.7,20.2,23.8
M,105,12.5,13.4,14.6,16,17.8,20.3,23.9
