Genero,Meses,M3SD,M2SD,M1SD,Median,1DS,2SD,3SD
M,61,12.7,14.4,16.3,18.5,21.1,24.2,27.8
M,62,12.8,14.5,16.4,18.7,21.3,24.4,28.1
M,63,13,14.6,16.6,18.9,21.5,24.7,28.4
M,64,13.1,14.8,16.7,19,21.7,24.9,28.8
M,65,13.2,14.9,16.9,19.2,22,25.2,29.1
M,66,13.3,15,17,19.4,22.2,25.5,29.4
M,67,13.4,15.2,17.2,19.6,22.4,25.7,29.8
M,68,13.6,15.3,17.4,19.8,22.6,26,30.1
M,69,13.7,15.4,17.5,19.9,22.8,26.3,30.4
M,70,13.8,15.6,17.7,20.1,23.1,26.6,30.8
M,71,13.9,15.7,17.8,20.3,23.3,26.8,31.2
M,72,14.1,15.9,18,20.5,23.5,27.1,31.5
M,73,14.2,16,18.2,20.7,23.7,27.4,31.9
M,74,14.3,16.2,18.3,20.9,24,27.7,32.2
M,75,14.5,16.3,18.5,21.1,24.2,28,32.6
M,76,14.6,16.5,18.7,21.3,24.4,28.3,33
M,77,14.7,16.6,18.8,21.5,24.7,28.6,33.3
M,78,14.9,16.8,19,21.7,24.9,28.9,33.7
M,79,15,16.9,19.2,21.9,25.2,29.2,34.1
M,80,15.1,17.1,19.3,22.1,25.4,29.5,34.5
M,81,15.3,17.2,19.5,22.3,25.6,29.8,34.9
M,82,15.4,17.4,19.7,22.5,25.9,30.1,35.3
M,83,15.5,17.5,19.9,22.7,26.1,30.4,35.7
M,84,15.7,17.7,20,22.9,26.4,30.7,36.1
M,85,15.8,17.8,20.2,23.1,26.6,31,36.5
M,86,15.9,18,20.4,23.3,26.9,31.3,36.9
M,87,16.1,18.1,20.6,23.5,27.1,31.7,37.4
M,88,16.2,18.3,20.7,23.7,27.4,32,37.8
M,89,16.3,18.4,20.9,23.9,27.7,32.3,38.2
M,90,16.5,18.6,21.1,24.1,27.9,32.6,38.7
M,91,16.6,18.7,21.3,24.3,28.2,33,39.1
M,92,16.7,18.9,21.4,24.6,28.4,33.3,39.6
M,93,16.9,19,21.6,24.8,28.7,33.7,40.1
M,94,17,19.2,21.8,25,29,34,40.5
M,95,17.1,19.3,22,25.2,29.2,34.4,41
M,96,17.3,19.5,22.1,25.4,29.5,34.7,41.5
M,97,17.4,19.6,22.3,25.6,29.8,35.1,42
M,98,17.5,19.8,22.5,25.9,30.1,35.5,42.5
M,99,17.7,19.9,22.7,26.1,30.3,35.8,43.1
M,100,17.8,20.1,22.9,26.3,30.6,36.2,43.6
M,101,17.9,20.2,23,26.5,30.9,36.6,44.1
M,102,18.1,20.4,23.2,26.7,31.2,37,44.7
M,103,18.2,20.5,23.4,27,31.5,37.4,45.2
M,104,18.3,20.7,23.6,27.2,31.8,37.8,45.8
M,105,18.4,20.8,23.8,27.4,32.1,38.2,46.4
M,106,18.6,21,23.9,27.6,32.4,38.6,47
M,107,18.7,21.1,24.1,27.9,32.7,39,47.6
M,108,18.8,21.3,24.3,28.1,33,39.4,48.2
M,109,18.9,21.4,24.5,28.3,33.3,39.9,48.8
M,110,19.1,21.6,24.7,28.6,33.6,40.3,49.5
M,111,19.2,21.7,24.9,28.8,33.9,40.7,50.1
M,112,19.3,21.9,25.1,29.1,34.3,41.2,50.8
